203655,Space Collor,Channel_1,Channel_2,Channel_3
0, rgb,26.039060073679114,77.29369462574152,26.261932134520247
1, hed,26.2635665072516,0.8588102116630707,24.417676806284156
2, hsv,11.64950987649273,7.122978504966059,60.38260019861032
3, lab,57.89264645867668,0.0,0.0
4, rgbcie,31.377223279528206,63.670787427802885,29.437888932943913
5, xyz,41.86310649874782,59.29310232315322,32.65493786043479
6, ycbcr,49.04474313684312,1.2688127317268332,6.3922738078744175
7, ydbdr,49.044513437905024,1.2755775755136043,6.398073479168648
8, yiq,49.044513437905024,23.162985364541615,0.0
9, ypbpr,49.044513437905024,1.2701756456690798,6.3933648471153814
10, yuv,49.044513437905024,1.2700193999894818,6.393386052552399
1874,Space Collor,Channel_1,Channel_2,Channel_3
0, rgb,19.09051136924163,34.191463714489615,20.463732362349912
1, hed,17.992478946992794,1.7678036876380852,20.66119767055574
2, hsv,29.304668385913423,17.133822731350637,26.390582148492935
3, lab,29.347502946308982,7.635713682863223,6.727019823694033
4, rgbcie,21.17905876112741,31.113284467468162,21.598962139966957
5, xyz,25.799460267657295,30.726580969782752,23.235432643228492
6, ycbcr,27.291835016073765,13.259626617975876,15.974663978633869
7, ydbdr,27.291836994281997,13.264891105113422,15.979191824112176
8, yiq,27.291836994281997,31.902368894056906,4.261876850754823
9, ypbpr,27.291836994281997,13.259124171903967,15.9748489851325
10, yuv,27.291836994281997,13.259103634661013,15.974863431977258
sugarcane,Space Collor,Channel_1,Channel_2,Channel_3
0, rgb,0.0,9.65839222758657,4.400985460509718
1, hed,0.0,0.0,11.580316446732686
2, hsv,0.0,68.06406802156214,0.0
3, lab,2.750362511964328,0.0,56.23947989212392
4, rgbcie,0.0,6.464610982873524,4.476243515329042
5, xyz,0.0,2.7313139589638413,4.490539003948146
6, ycbcr,1.4770762524408376,57.79557031491853,0.0
7, ydbdr,1.4770455067625423,57.738213393776284,0.0
8, yiq,1.4770455067625423,0.0,0.0
9, ypbpr,1.4770455067625423,57.79538635452442,0.0
10, yuv,1.4770455067625423,57.795721342325706,0.0
sugarcane_composto,Space Collor,Channel_1,Channel_2,Channel_3
0, rgb,0.0,0.0,0.0
1, hed,0.0,0.0,0.0
2, hsv,0.0,67.56048635770532,0.0
3, lab,0.0,0.0,43.007273697223376
4, rgbcie,0.0,0.0,0.0
5, xyz,0.0,0.0,0.0
6, ycbcr,0.0,70.72623819267315,0.0
7, ydbdr,0.0,70.66133696586684,0.0
8, yiq,0.0,0.0,0.0
9, ypbpr,0.0,70.73012636229699,0.0
10, yuv,0.0,70.7296787452764,0.0
crop-rows-sugar-cane,Space Collor,Channel_1,Channel_2,Channel_3
0, rgb,9.332466510420016,72.56419345308456,39.38934920906305
1, hed,2.6191911106792154,0.0,60.13918216961672
2, hsv,0.0,33.395551858894926,9.430732132686927
3, lab,42.56180372953313,0.0,88.68459196294678
4, rgbcie,12.708127533488394,58.14608827319118,41.07010154415095
5, xyz,22.877454103532205,41.00117772695952,40.45883108795026
6, ycbcr,38.237351619373534,63.287376957960674,0.0
7, ydbdr,38.237352851857466,63.247578085069094,0.0
8, yiq,38.237352851857466,0.0,0.0
9, ypbpr,38.237352851857466,63.28849413847376,0.0
10, yuv,38.237352851857466,63.288216757997375,0.0
RedEdge_composto/000,Space Collor,Channel_1,Channel_2,Channel_3
0, rgb,1.0721589085409697,21.87666802290567,52.57102609617155
1, hed,0.0,0.0,100.0
2, hsv,100.0,0.0,27.97406424641427
3, lab,37.7219217992196,0.0,0.0
4, rgbcie,17.13525745730526,32.47260224837351,68.45044375192148
5, xyz,100.0,39.18659159242336,77.92055613859277
6, ycbcr,61.353418378211764,1.0878017563577893,0.0
7, ydbdr,61.35353921825612,1.094165717673829,0.0
8, yiq,61.35353921825612,0.0,0.0
9, ypbpr,61.35353921825612,1.087461463744246,0.0
10, yuv,61.35353921825612,1.0874507434160032,0.0
RedEdge/000,Space Collor,Channel_1,Channel_2,Channel_3
0, rgb,2.583347394086666,28.793376716837084,60.78568708448642
1, hed,0.0,0.0,100.0
2, hsv,100.0,0.0,36.63036515878633
3, lab,48.42080338945575,0.0,1.6792252756935038
4, rgbcie,15.260225559856535,41.20813487235127,73.36239854102922
5, xyz,93.30968050487093,50.71977841866564,78.091612492182
6, ycbcr,75.78289280659021,12.335447483754855,0.0
7, ydbdr,75.78325980440239,12.347303423244327,0.0
8, yiq,75.78325980440239,0.0,0.0
9, ypbpr,75.78325980440239,12.33514242284944,0.0
10, yuv,75.78325980440239,12.335104858073949,0.0
RedEdge_composto/001,Space Collor,Channel_1,Channel_2,Channel_3
0, rgb,0.0,25.232860513601445,48.122318855056044
1, hed,0.0,0.0,100.0
2, hsv,0.0,0.0,39.244447437844194
3, lab,44.86787919642896,0.0,0.0
4, rgbcie,9.076031397257289,37.260551231052396,63.02436096509011
5, xyz,100.0,44.955126516975724,74.4727070037658
6, ycbcr,73.01449159140387,7.3184791807315985,0.0
7, ydbdr,73.01433597823667,7.327910483171111,0.0
8, yiq,73.01433597823667,0.0,0.0
9, ypbpr,73.01433597823667,7.318094549214642,0.0
10, yuv,73.01433597823667,7.318097367808059,0.0
RedEdge/001,Space Collor,Channel_1,Channel_2,Channel_3
0, rgb,0.0,36.88641947915785,50.134909000863125
1, hed,0.0,0.0,100.0
2, hsv,0.0,0.0,56.305323790356965
3, lab,62.97739012617495,0.0,6.072428650896166
4, rgbcie,6.643665842675953,52.17001639745465,60.82753543832729
5, xyz,70.65798303945459,63.47599863274781,67.90668319109555
6, ycbcr,100.0,19.44466059924734,0.0
7, ydbdr,100.0,19.461340351884225,0.0
8, yiq,100.0,0.0,0.0
9, ypbpr,100.0,19.445015372502038,0.0
10, yuv,100.0,19.44492928166091,0.0
all_weeds,Space Collor,Channel_1,Channel_2,Channel_3
0, rgb,18.108798420638525,81.0611454802187,24.08785051934271
1, hed,13.560252480805996,0.0,27.656650460044563
2, hsv,10.83945437171768,1.7023861390971395,61.88401089203621
3, lab,58.63203198473035,0.0,0.0
4, rgbcie,23.58429672464094,64.97618044861736,27.502898628697164
5, xyz,38.0292293669375,57.538750454172046,30.492719294876142
6, ycbcr,46.761548567007985,3.8580405226583263,0.3132175368747991
7, ydbdr,46.76184124313394,3.865662444755886,0.31747345680352607
8, yiq,46.76184124313394,11.938605590366983,0.0
9, ypbpr,46.76184124313394,3.8583705069854406,0.31411005524551516
10, yuv,46.76184124313394,3.8583731026840744,0.3141838634906476
all_green,Space Collor,Channel_1,Channel_2,Channel_3
0, rgb,15.517327574945854,78.14365813910277,20.971735915949143
1, hed,13.233574899400136,0.0,24.087245279587894
2, hsv,11.371284009392669,4.615266076290484,51.55348839538749
3, lab,55.397255694616334,0.0,0.0
4, rgbcie,20.88894553973909,62.11800188987249,24.4530153162585
5, xyz,33.57140387449875,53.291441327938394,27.166921528688597
6, ycbcr,43.878134738497515,4.7484565159858905,0.0
7, ydbdr,43.879786805180544,4.757303953441774,0.0
8, yiq,43.879786805180544,11.656054637052712,0.0
9, ypbpr,43.879786805180544,4.7484197674884285,0.0
10, yuv,43.879786805180544,4.7483748517632,0.0
